DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Noise2Noise,{},001,0,32.66198506663143,33.46187479905804,0.9085523754226341,5.013664960861206
Noise2Noise,{},002,0,41.01203996133164,41.30172804816436,0.9760184174208362,4.886820077896118
Noise2Noise,{},003,0,40.09944846970012,40.381372227981714,0.9760418647531199,5.204169988632202
Noise2Noise,{},004,0,38.86440009101105,39.40001947289317,0.9630791535164702,5.869577169418335
Noise2Noise,{},005,0,37.128830893603826,37.33528820014499,0.9628049770228455,5.356083154678345
Noise2Noise,{},006,0,33.944811209890574,34.91965126822608,0.9260781215601234,5.058826923370361
Noise2Noise,{},007,0,35.18388754536125,35.9675768807428,0.9349637352388086,5.071162939071655
Noise2Noise,{},008,0,34.55739040666577,34.856395608595875,0.9182494200438645,5.109312057495117
Noise2Noise,{},009,0,34.392956494267885,35.13362214416371,0.923755949748679,4.774597883224487
Noise2Noise,{},010,0,32.05859701416111,34.262440153343874,0.9219911124324827,4.7963292598724365
Noise2Noise,{},011,0,35.002086822830016,37.118615062962334,0.936456907627531,5.3650901317596436
Noise2Noise,{},012,0,33.61366931905524,35.328796534578366,0.9350106170953958,4.907536029815674
Noise2Noise,{},013,0,28.484456052753643,32.49178533562428,0.8779485287945347,4.905747890472412
Noise2Noise,{},014,0,34.234162295804595,35.46566782814638,0.922557985590004,5.2604639530181885
Noise2Noise,{},015,0,36.23319691237543,36.88129138502981,0.9584486709694654,4.967372179031372
Noise2Noise,{},016,0,33.88934185205025,34.66002167863102,0.9182453860609007,5.549347877502441
Noise2Noise,{},017,0,31.53644605985514,33.084308080799396,0.9107180397300757,6.380824089050293
Noise2Noise,{},018,0,37.34959023893931,37.640508465905654,0.9528966969501613,5.596865177154541
Noise2Noise,{},019,0,37.186203738273704,37.59053756095052,0.9654456739344348,4.906260967254639
Noise2Noise,{},020,0,30.581774620278086,31.285084228518887,0.8647907225572821,4.708155870437622
