DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
NL-Means,{},001,2,31.139486074449863,32.83180680209616,0.8194756867599072,0.6262662410736084
NL-Means,{},002,2,31.180690147761787,37.737373493173216,0.9523338281240101,0.6154370307922363
NL-Means,{},003,2,32.28117317685328,36.30863049367615,0.9315009190909465,0.6802890300750732
NL-Means,{},004,2,27.754331860131987,32.92146427893932,0.8355889916123682,0.6133840084075928
NL-Means,{},005,2,24.16232147524489,31.351836038134735,0.7998648136381675,0.6003179550170898
NL-Means,{},006,2,28.95817429265666,30.576613683814408,0.7549278662889966,0.603053092956543
NL-Means,{},007,2,38.09677341507987,38.375498410098345,0.9658858676901884,0.7392961978912354
NL-Means,{},008,2,33.27328679684084,37.27062741828616,0.9436834860451725,0.6131439208984375
NL-Means,{},009,2,34.53704910362173,35.23728597918689,0.937730999720136,0.6313793659210205
NL-Means,{},010,2,36.860513380438384,38.51905711284408,0.9520678484292161,0.6306419372558594
NL-Means,{},011,2,35.16921216776656,37.31492666218103,0.9382071201032168,0.6275808811187744
NL-Means,{},012,2,38.70414114626974,39.65304012324331,0.9776937915208018,0.6226968765258789
NL-Means,{},013,2,32.042237178911975,33.73965903448938,0.8988525440042582,0.6175448894500732
NL-Means,{},014,2,37.29620192131574,37.80086071996097,0.9669220878932056,0.6105179786682129
NL-Means,{},015,2,33.37145199104542,36.28457129174859,0.9477041626422563,0.6107339859008789
NL-Means,{},016,2,32.22865772396692,35.868842036282665,0.9321294289584107,0.6046831607818604
NL-Means,{},017,2,22.4457858370686,29.756863534504376,0.6621707525078274,0.6040530204772949
NL-Means,{},018,2,29.128694484737782,32.185843399810985,0.761570055315705,0.5946402549743652
NL-Means,{},019,2,34.189540991255406,34.644853270733066,0.9150081854347074,0.6012558937072754
NL-Means,{},020,2,29.832314431816116,29.909969398396555,0.7479870584519885,0.5972161293029785
NL-Means,{},021,2,28.235029175477845,31.81984393243406,0.7798634893527694,0.6093852519989014
NL-Means,{},022,2,34.02181996543135,34.0559702536275,0.8613326063974442,0.6288533210754395
NL-Means,{},023,2,29.321350543215146,35.357141164521416,0.9010243395730142,0.6286520957946777
NL-Means,{},024,2,30.93906547278246,34.997888877504074,0.8991289287373284,0.6275620460510254
NL-Means,{},025,2,29.48066109049059,30.81895009700803,0.7695455269210819,0.6242189407348633
NL-Means,{},026,2,31.583660298334443,32.95493761461762,0.8618200453719675,0.6209452152252197
NL-Means,{},027,2,35.808793652931435,35.923556129942604,0.9345315424827568,0.6072311401367188
NL-Means,{},028,2,36.74328052049794,37.32819394915891,0.9579260566729871,0.5988428592681885
NL-Means,{},029,2,32.63337930564041,34.149284194470546,0.9334024034433772,0.6018831729888916
NL-Means,{},030,2,30.750398426851543,32.745133970718555,0.8732305996871139,0.5970113277435303
NL-Means,{},031,2,30.05586083312955,31.116209130621403,0.786409982338537,0.6055960655212402
NL-Means,{},032,2,30.50017134886779,30.68924242230393,0.8123560430990472,0.5956082344055176
NL-Means,{},033,2,25.740400491046472,30.979240229506328,0.8432079920584014,0.5960822105407715
NL-Means,{},034,2,31.326129657790176,31.36825677454954,0.8614187281321761,0.5999391078948975
NL-Means,{},035,2,29.70817672890096,36.872617450345686,0.9536206331647524,0.764275312423706
NL-Means,{},036,2,35.95369983357955,36.91802604822131,0.9583972381278658,0.6246819496154785
NL-Means,{},037,2,35.85110509223699,36.69077899244899,0.9545022692549481,0.6243257522583008
NL-Means,{},038,2,36.87777655497028,37.03177309891806,0.9446816948432223,0.6538488864898682
NL-Means,{},039,2,30.064295212931743,32.88797731869294,0.8718827761684266,0.6085717678070068
NL-Means,{},040,2,35.41364890849882,37.500221687588166,0.9571031045083702,0.6207079887390137
NL-Means,{},041,2,35.20365325481639,37.20458644491578,0.9328700516586307,0.6008338928222656
NL-Means,{},042,2,31.32214364975068,32.30312308882722,0.840557374946682,0.6012558937072754
NL-Means,{},043,2,30.899894991514955,32.387608689476714,0.875037590190567,0.6046769618988037
NL-Means,{},044,2,34.888371968218635,38.14986765157526,0.954809120990361,0.598419189453125
NL-Means,{},045,2,31.616161351689463,31.91512586771157,0.8427010275239973,0.6078832149505615
NL-Means,{},046,2,34.672298322465046,34.68818271903253,0.9109968957861256,0.5991470813751221
NL-Means,{},047,2,35.45655002092401,35.48715632302312,0.9286619541727827,0.6201798915863037
NL-Means,{},048,2,35.015214070876546,35.28985680913198,0.9305393566382656,0.6278750896453857
NL-Means,{},049,2,35.331610653657826,35.633397987959235,0.9199502981029503,0.62689208984375
NL-Means,{},050,2,35.10966472570854,35.12539917943821,0.9191666527520098,0.6228601932525635
NL-Means,{},051,2,23.653403705642813,30.83262615190328,0.7595705905274656,0.6193881034851074
NL-Means,{},052,2,24.537135668501687,25.81870964891349,0.5494992913615525,0.6070799827575684
